date,admin1,market,category,commodity,unit,price,latitude,longitude,pricetype,year,month,admin1_enc,market_enc,category_enc,commodity_enc,unit_enc
2006-05-15,Eastern,Ampara,cereals and tubers,Rice (red nadu),KG,25.0,7.28,81.67,Retail,2006,5,1,0,0,35,1
2006-06-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,34.26,6.93,79.85,Retail,2006,6,8,5,0,41,1
2006-06-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,30.53,6.93,79.85,Retail,2006,6,8,5,0,35,1
2006-06-15,Northern,Vavuniya,cereals and tubers,Wheat flour,KG,33.5,8.75,80.5,Retail,2006,6,4,42,0,41,1
2006-06-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,32.0,9.27,80.81,Retail,2006,6,4,31,0,35,1
2006-06-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,34.0,8.98,79.9,Retail,2006,6,4,26,0,41,1
2006-06-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,35.0,9.4,80.4,Retail,2006,6,4,24,0,41,1
2006-06-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,34.5,9.66,80.01,Retail,2006,6,4,19,0,41,1
2006-06-15,Northern,Jaffna,cereals and tubers,Rice (red nadu),KG,31.0,9.66,80.01,Retail,2006,6,4,19,0,35,1
2006-06-15,Eastern,Trincomalee,cereals and tubers,Wheat flour,KG,32.0,8.57,81.23,Retail,2006,6,1,41,0,41,1
2006-06-15,Eastern,Trincomalee,cereals and tubers,Rice (red nadu),KG,30.5,8.57,81.23,Retail,2006,6,1,41,0,35,1
2006-06-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,33.0,7.72,81.7,Retail,2006,6,1,4,0,41,1
2006-06-15,Eastern,Batticaloa,cereals and tubers,Rice (red nadu),KG,34.66,7.72,81.7,Retail,2006,6,1,4,0,35,1
2006-06-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,36.5,7.28,81.67,Retail,2006,6,1,0,0,41,1
2006-07-15,Western,Colombo City,cereals and tubers,Rice (white),KG,30.25,6.93,79.85,Retail,2006,7,8,5,0,37,1
2006-07-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,31.07,6.93,79.85,Retail,2006,7,8,5,0,35,1
2006-07-15,Northern,Vavuniya,cereals and tubers,Rice (red nadu),KG,30.0,8.75,80.5,Retail,2006,7,4,42,0,35,1
2006-07-15,Northern,Mulaitivu,cereals and tubers,Wheat flour,KG,35.0,9.27,80.81,Retail,2006,7,4,31,0,41,1
2006-07-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,30.5,9.27,80.81,Retail,2006,7,4,31,0,35,1
2006-07-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,34.5,8.98,79.9,Retail,2006,7,4,26,0,41,1
2006-07-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,31.5,8.98,79.9,Retail,2006,7,4,26,0,35,1
2006-07-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,35.0,9.4,80.4,Retail,2006,7,4,24,0,41,1
2006-07-15,Northern,Kilinochchi,cereals and tubers,Rice (red nadu),KG,31.5,9.4,80.4,Retail,2006,7,4,24,0,35,1
2006-07-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,35.5,9.66,80.01,Retail,2006,7,4,19,0,41,1
2006-07-15,Eastern,Trincomalee,cereals and tubers,Rice (red nadu),KG,30.62,8.57,81.23,Retail,2006,7,1,41,0,35,1
2006-07-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,32.3,7.72,81.7,Retail,2006,7,1,4,0,41,1
2006-07-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,35.0,7.28,81.67,Retail,2006,7,1,0,0,41,1
2006-07-15,Eastern,Ampara,cereals and tubers,Rice (red nadu),KG,22.5,7.28,81.67,Retail,2006,7,1,0,0,35,1
2006-08-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,34.89,6.93,79.85,Retail,2006,8,8,5,0,41,1
2006-08-15,Western,Colombo City,cereals and tubers,Rice (white),KG,29.54,6.93,79.85,Retail,2006,8,8,5,0,37,1
2006-08-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,30.86,6.93,79.85,Retail,2006,8,8,5,0,35,1
2006-08-15,Northern,Vavuniya,cereals and tubers,Wheat flour,KG,34.0,8.75,80.5,Retail,2006,8,4,42,0,41,1
2006-08-15,Northern,Mulaitivu,cereals and tubers,Wheat flour,KG,38.0,9.27,80.81,Retail,2006,8,4,31,0,41,1
2006-08-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,35.0,8.98,79.9,Retail,2006,8,4,26,0,41,1
2006-08-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,31.5,8.98,79.9,Retail,2006,8,4,26,0,35,1
2006-08-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,57.5,9.4,80.4,Retail,2006,8,4,24,0,41,1
2006-08-15,Northern,Kilinochchi,cereals and tubers,Rice (red nadu),KG,32.0,9.4,80.4,Retail,2006,8,4,24,0,35,1
2006-08-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,39.0,9.66,80.01,Retail,2006,8,4,19,0,41,1
2006-08-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,31.3,7.72,81.7,Retail,2006,8,1,4,0,41,1
2006-08-15,Eastern,Batticaloa,cereals and tubers,Rice (red nadu),KG,33.66,7.72,81.7,Retail,2006,8,1,4,0,35,1
2006-08-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,35.0,7.28,81.67,Retail,2006,8,1,0,0,41,1
2006-08-15,Eastern,Ampara,cereals and tubers,Rice (red nadu),KG,32.0,7.28,81.67,Retail,2006,8,1,0,0,35,1
2006-09-15,Western,Colombo City,cereals and tubers,Rice (white),KG,29.92,6.93,79.85,Retail,2006,9,8,5,0,37,1
2006-09-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,36.36,6.93,79.85,Retail,2006,9,8,5,0,41,1
2006-09-15,Northern,Vavuniya,cereals and tubers,Wheat flour,KG,34.0,8.75,80.5,Retail,2006,9,4,42,0,41,1
2006-09-15,Northern,Mulaitivu,cereals and tubers,Wheat flour,KG,60.0,9.27,80.81,Retail,2006,9,4,31,0,41,1
2006-09-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,35.5,9.27,80.81,Retail,2006,9,4,31,0,35,1
2006-09-15,Eastern,Batticaloa,cereals and tubers,Rice (red nadu),KG,31.0,7.72,81.7,Retail,2006,9,1,4,0,35,1
2006-09-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,40.0,9.66,80.01,Retail,2006,9,4,19,0,41,1
2006-09-15,Eastern,Trincomalee,cereals and tubers,Rice (red nadu),KG,35.25,8.57,81.23,Retail,2006,9,1,41,0,35,1
2006-09-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,35.3,7.72,81.7,Retail,2006,9,1,4,0,41,1
2006-09-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,35.0,7.28,81.67,Retail,2006,9,1,0,0,41,1
2006-09-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,55.0,9.4,80.4,Retail,2006,9,4,24,0,41,1
2006-10-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,39.38,6.93,79.85,Retail,2006,10,8,5,0,41,1
2006-10-15,Northern,Vavuniya,cereals and tubers,Wheat flour,KG,39.3,8.75,80.5,Retail,2006,10,4,42,0,41,1
2006-10-15,Northern,Vavuniya,cereals and tubers,Rice (red nadu),KG,33.5,8.75,80.5,Retail,2006,10,4,42,0,35,1
2006-10-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,32.0,9.27,80.81,Retail,2006,10,4,31,0,35,1
2006-10-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,37.0,8.98,79.9,Retail,2006,10,4,26,0,41,1
2006-10-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,45.5,9.4,80.4,Retail,2006,10,4,24,0,41,1
2006-10-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,32.0,8.98,79.9,Retail,2006,10,4,26,0,35,1
2006-10-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,80.0,9.66,80.01,Retail,2006,10,4,19,0,41,1
2006-10-15,Northern,Jaffna,cereals and tubers,Rice (red nadu),KG,183.0,9.66,80.01,Retail,2006,10,4,19,0,35,1
2006-10-15,Eastern,Trincomalee,cereals and tubers,Wheat flour,KG,38.3,8.57,81.23,Retail,2006,10,1,41,0,41,1
2006-10-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,40.3,7.72,81.7,Retail,2006,10,1,4,0,41,1
2006-10-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,40.0,7.28,81.67,Retail,2006,10,1,0,0,41,1
2006-10-15,Eastern,Ampara,cereals and tubers,Rice (red nadu),KG,22.5,7.28,81.67,Retail,2006,10,1,0,0,35,1
2006-10-15,Northern,Kilinochchi,cereals and tubers,Rice (red nadu),KG,31.0,9.4,80.4,Retail,2006,10,4,24,0,35,1
2006-11-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,38.5,8.98,79.9,Retail,2006,11,4,26,0,35,1
2006-11-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,39.23,6.93,79.85,Retail,2006,11,8,5,0,35,1
2006-11-15,Northern,Vavuniya,cereals and tubers,Wheat flour,KG,39.5,8.75,80.5,Retail,2006,11,4,42,0,41,1
2006-11-15,Western,Colombo City,cereals and tubers,Rice (white),KG,31.78,6.93,79.85,Retail,2006,11,8,5,0,37,1
2006-11-15,Northern,Vavuniya,cereals and tubers,Rice (red nadu),KG,39.5,8.75,80.5,Retail,2006,11,4,42,0,35,1
2006-11-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,35.0,9.27,80.81,Retail,2006,11,4,31,0,35,1
2006-11-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,37.5,8.98,79.9,Retail,2006,11,4,26,0,41,1
2006-11-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,45.0,9.4,80.4,Retail,2006,11,4,24,0,41,1
2006-11-15,Eastern,Batticaloa,cereals and tubers,Rice (red nadu),KG,33.67,7.72,81.7,Retail,2006,11,1,4,0,35,1
2006-11-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,100.0,9.66,80.01,Retail,2006,11,4,19,0,41,1
2006-11-15,Northern,Jaffna,cereals and tubers,Rice (red nadu),KG,170.0,9.66,80.01,Retail,2006,11,4,19,0,35,1
2006-11-15,Eastern,Trincomalee,cereals and tubers,Rice (red nadu),KG,33.0,8.57,81.23,Retail,2006,11,1,41,0,35,1
2006-11-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,39.0,7.72,81.7,Retail,2006,11,1,4,0,41,1
2006-11-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,48.0,7.28,81.67,Retail,2006,11,1,0,0,41,1
2006-11-15,Eastern,Ampara,cereals and tubers,Rice (red nadu),KG,28.25,7.28,81.67,Retail,2006,11,1,0,0,35,1
2006-11-15,Northern,Kilinochchi,cereals and tubers,Rice (red nadu),KG,32.0,9.4,80.4,Retail,2006,11,4,24,0,35,1
2006-12-15,Western,Colombo City,cereals and tubers,Rice (white),KG,34.32,6.93,79.85,Retail,2006,12,8,5,0,37,1
2006-12-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,40.06,6.93,79.85,Retail,2006,12,8,5,0,41,1
2007-01-15,Northern,Mulaitivu,cereals and tubers,Wheat flour,KG,43.5,9.27,80.81,Retail,2007,1,4,31,0,41,1
2007-01-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,40.18,6.93,79.85,Retail,2007,1,8,5,0,41,1
2007-01-15,Western,Colombo City,cereals and tubers,Rice (white),KG,34.5,6.93,79.85,Retail,2007,1,8,5,0,37,1
2007-01-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,37.48,6.93,79.85,Retail,2007,1,8,5,0,35,1
2007-01-15,Northern,Vavuniya,cereals and tubers,Wheat flour,KG,39.5,8.75,80.5,Retail,2007,1,4,42,0,41,1
2007-01-15,Northern,Vavuniya,cereals and tubers,Rice (red nadu),KG,42.5,8.75,80.5,Retail,2007,1,4,42,0,35,1
2007-01-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,30.5,9.27,80.81,Retail,2007,1,4,31,0,35,1
2007-01-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,38.0,7.72,81.7,Retail,2007,1,1,4,0,41,1
2007-01-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,45.0,9.4,80.4,Retail,2007,1,4,24,0,41,1
2007-01-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,67.5,9.66,80.01,Retail,2007,1,4,19,0,41,1
2007-01-15,Eastern,Trincomalee,cereals and tubers,Wheat flour,KG,38.8,8.57,81.23,Retail,2007,1,1,41,0,41,1
2007-01-15,Eastern,Trincomalee,cereals and tubers,Rice (red nadu),KG,32.8,8.57,81.23,Retail,2007,1,1,41,0,35,1
2007-01-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,39.0,8.98,79.9,Retail,2007,1,4,26,0,41,1
2007-01-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,39.5,7.28,81.67,Retail,2007,1,1,0,0,41,1
2007-02-15,Western,Colombo City,cereals and tubers,Rice (white),KG,36.38,6.93,79.85,Retail,2007,2,8,5,0,37,1
2007-02-15,Northern,Vavuniya,cereals and tubers,Rice (red nadu),KG,42.5,8.75,80.5,Retail,2007,2,4,42,0,35,1
2007-02-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,30.0,9.27,80.81,Retail,2007,2,4,31,0,35,1
2007-02-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,40.5,8.98,79.9,Retail,2007,2,4,26,0,41,1
2007-02-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,42.5,8.98,79.9,Retail,2007,2,4,26,0,35,1
2007-02-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,45.0,9.4,80.4,Retail,2007,2,4,24,0,41,1
2007-02-15,Northern,Kilinochchi,cereals and tubers,Rice (red nadu),KG,29.0,9.4,80.4,Retail,2007,2,4,24,0,35,1
2007-02-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,38.59,6.93,79.85,Retail,2007,2,8,5,0,35,1
2007-02-15,Northern,Jaffna,cereals and tubers,Rice (red nadu),KG,92.5,9.66,80.01,Retail,2007,2,4,19,0,35,1
2007-02-15,Eastern,Trincomalee,cereals and tubers,Wheat flour,KG,41.0,8.57,81.23,Retail,2007,2,1,41,0,41,1
2007-02-15,Eastern,Trincomalee,cereals and tubers,Rice (red nadu),KG,37.1,8.57,81.23,Retail,2007,2,1,41,0,35,1
2007-02-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,39.0,7.72,81.7,Retail,2007,2,1,4,0,41,1
2007-02-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,40.0,7.28,81.67,Retail,2007,2,1,0,0,41,1
2007-02-15,Eastern,Ampara,cereals and tubers,Rice (red nadu),KG,33.5,7.28,81.67,Retail,2007,2,1,0,0,35,1
2007-02-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,87.5,9.66,80.01,Retail,2007,2,4,19,0,41,1
